id	label	description	x	y	cluster	weight<Documents>	weight<Co-authorships>
1287	"thi, k"	"<table><tr><td>Author:</td><td>thi, k</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>7</td></tr></table>"	-1.1436	-0.2843	4	2	7
1307	"tsai, yh"	"<table><tr><td>Author:</td><td>tsai, yh</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>23</td></tr></table>"	-1.0255	-0.0602	7	2	23
1314	"vaccari, m"	"<table><tr><td>Author:</td><td>vaccari, m</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>82</td></tr></table>"	0.5065	0.4931	2	2	82
1318	"valverde, m"	"<table><tr><td>Author:</td><td>valverde, m</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>82</td></tr></table>"	0.4082	0.0396	2	2	82
1325	"van larebeke, n"	"<table><tr><td>Author:</td><td>van larebeke, n</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>82</td></tr></table>"	0.2855	0.1637	2	2	82
1326	"van schooten, fj"	"<table><tr><td>Author:</td><td>van schooten, fj</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>82</td></tr></table>"	0.4597	0.1782	2	2	82
1335	"vermeulen, r"	"<table><tr><td>Author:</td><td>vermeulen, r</td></tr><tr><td>Documents:</td><td>3</td></tr><tr><td>Co-authorships:</td><td>53</td></tr></table>"	-0.4896	-0.3937	3	3	53
1342	"vineis, p"	"<table><tr><td>Author:</td><td>vineis, p</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>19</td></tr></table>"	-0.7366	-0.1016	4	2	19
1353	"walsh, km"	"<table><tr><td>Author:</td><td>walsh, km</td></tr><tr><td>Documents:</td><td>3</td></tr><tr><td>Co-authorships:</td><td>21</td></tr></table>"	-0.506	0.5238	5	3	21
1358	"wang, f"	"<table><tr><td>Author:</td><td>wang, f</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>9</td></tr></table>"	-0.0951	-0.2669	6	2	9
1383	"wen, cj"	"<table><tr><td>Author:</td><td>wen, cj</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>44</td></tr></table>"	-0.8282	-0.4829	3	2	44
1393	"whitehead, tp"	"<table><tr><td>Author:</td><td>whitehead, tp</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>17</td></tr></table>"	-0.4422	0.5187	5	2	17
1396	"wiemels, jl"	"<table><tr><td>Author:</td><td>wiemels, jl</td></tr><tr><td>Documents:</td><td>7</td></tr><tr><td>Co-authorships:</td><td>46</td></tr></table>"	-0.503	0.5994	5	7	46
1414	"woodrick, j"	"<table><tr><td>Author:</td><td>woodrick, j</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>82</td></tr></table>"	0.5926	0.2162	2	2	82
1415	"wrensch, mr"	"<table><tr><td>Author:</td><td>wrensch, mr</td></tr><tr><td>Documents:</td><td>3</td></tr><tr><td>Co-authorships:</td><td>25</td></tr></table>"	-0.3809	0.5361	5	3	25
1438	"xu, zd"	"<table><tr><td>Author:</td><td>xu, zd</td></tr><tr><td>Documents:</td><td>3</td></tr><tr><td>Co-authorships:</td><td>12</td></tr></table>"	-1.2621	-0.0572	7	3	12
1447	"yang, xj"	"<table><tr><td>Author:</td><td>yang, xj</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>73</td></tr></table>"	0.8096	-0.4011	1	2	73
1453	"yaswen, p"	"<table><tr><td>Author:</td><td>yaswen, p</td></tr><tr><td>Documents:</td><td>3</td></tr><tr><td>Co-authorships:</td><td>73</td></tr></table>"	0.9171	-0.1964	1	3	73
1457	"yedjou, c"	"<table><tr><td>Author:</td><td>yedjou, c</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>94</td></tr></table>"	0.7736	0.0103	1	2	94
1466	"you, l"	"<table><tr><td>Author:</td><td>you, l</td></tr><tr><td>Documents:</td><td>3</td></tr><tr><td>Co-authorships:</td><td>12</td></tr></table>"	-1.3039	-0.0398	7	3	12
1479	"zhang, lp"	"<table><tr><td>Author:</td><td>zhang, lp</td></tr><tr><td>Documents:</td><td>8</td></tr><tr><td>Co-authorships:</td><td>186</td></tr></table>"	-0.3154	-0.0245	3	8	186
1496	"zhou, m"	"<table><tr><td>Author:</td><td>zhou, m</td></tr><tr><td>Documents:</td><td>3</td></tr><tr><td>Co-authorships:</td><td>23</td></tr></table>"	-0.3619	0.404	5	3	23
1497	"zhu, jh"	"<table><tr><td>Author:</td><td>zhu, jh</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>9</td></tr></table>"	-0.0719	-0.331	6	2	9
1498	"zhu, jy"	"<table><tr><td>Author:</td><td>zhu, jy</td></tr><tr><td>Documents:</td><td>2</td></tr><tr><td>Co-authorships:</td><td>73</td></tr></table>"	0.8178	-0.3136	1	2	73
